date,pnl_usd,balance,ret_pct
2025-10-01,29.16,1029.16,2.9159
2025-10-02,44.27,1073.43,4.3019
2025-10-03,32.89,1106.33,3.0644
2025-10-06,-21.46,1084.86,-1.9399
2025-10-07,-8.53,1076.34,-0.786
2025-10-08,0.25,1076.59,0.023
2025-10-09,-15.94,1060.65,-1.4805
2025-10-10,48.21,1108.86,4.5454
2025-10-13,1.83,1110.69,0.1652
2025-10-14,7.53,1118.22,0.6779
2025-10-15,26.69,1144.91,2.3865
2025-10-16,40.0,1184.9,3.4933
2025-10-17,-17.82,1167.08,-1.504
2025-10-20,27.67,1194.75,2.3705
2025-10-21,-15.31,1179.43,-1.2814
2025-10-22,-21.89,1157.55,-1.8557
2025-10-23,-4.89,1152.65,-0.4228
2025-10-24,40.82,1193.47,3.5414
2025-10-27,12.51,1205.98,1.0481
2025-10-28,11.21,1217.19,0.9294
2025-10-29,1.07,1218.26,0.0882
2025-10-30,8.08,1226.34,0.663
2025-10-31,6.7,1233.04,0.5464
2025-11-03,-6.15,1226.9,-0.4984
2025-11-04,3.31,1230.21,0.27
2025-11-05,-19.1,1211.11,-1.5522
2025-11-06,13.41,1224.52,1.107
2025-11-07,-4.44,1220.08,-0.363
2025-11-10,-20.6,1199.47,-1.6887
2025-11-11,-12.06,1187.42,-1.0051
2025-11-12,7.91,1195.33,0.6663
2025-11-13,-7.72,1187.61,-0.6458
2025-11-14,-22.3,1165.31,-1.8776
2025-11-17,34.5,1199.81,2.9606
2025-11-18,-13.12,1186.69,-1.0938
2025-11-19,8.15,1194.84,0.687
2025-11-20,-26.33,1168.51,-2.2034
2025-11-21,-37.89,1130.62,-3.2429
2025-11-24,22.01,1152.63,1.947
2025-11-25,21.55,1174.18,1.8697
2025-11-26,-10.68,1163.5,-0.9098
2025-11-27,-18.58,1144.92,-1.597
2025-11-28,9.57,1154.49,0.8355
2025-12-01,3.31,1157.8,0.2869
2025-12-02,-14.68,1143.12,-1.2679
2025-12-03,19.66,1162.78,1.7194
2025-12-04,-14.18,1148.59,-1.2196
2025-12-05,-1.59,1147.01,-0.1381
2025-12-08,18.06,1165.07,1.5747
2025-12-09,-2.52,1162.55,-0.2167
2025-12-10,13.63,1176.17,1.1721
2025-12-11,15.31,1191.49,1.3019
2025-12-12,-21.58,1169.9,-1.8114
2025-12-15,21.78,1191.68,1.8615
2025-12-16,5.4,1197.08,0.4534
2025-12-17,7.96,1205.05,0.6652
2025-12-18,-23.26,1181.79,-1.9299
2025-12-19,26.76,1208.55,2.2643
2025-12-22,45.14,1253.69,3.735
2025-12-23,6.86,1260.55,0.5474
2025-12-24,8.31,1268.86,0.6594
2025-12-26,-6.76,1262.1,-0.5327
2025-12-29,-8.53,1253.58,-0.6757
2025-12-30,2.31,1255.88,0.1839
2025-12-31,41.01,1296.89,3.2653
2026-01-02,9.14,1306.03,0.7049
2026-01-05,-40.94,1265.09,-3.1348
2026-01-06,53.96,1319.05,4.2651
2026-01-07,-15.39,1303.65,-1.167
2026-01-08,-3.29,1300.36,-0.2526
2026-01-09,56.08,1356.44,4.3128
2026-01-12,25.89,1382.33,1.9084
2026-01-13,-17.92,1364.41,-1.2961
2026-01-14,19.41,1383.82,1.4222
2026-01-15,-3.0,1380.81,-0.2171
2026-01-16,1.68,1382.5,0.1218
2026-01-19,20.43,1402.92,1.4776
2026-01-20,-24.9,1378.02,-1.7749
2026-01-21,-11.13,1366.89,-0.8076
2026-01-22,25.69,1392.59,1.8795
2026-01-23,24.27,1416.85,1.7427
2026-01-26,-32.88,1383.97,-2.3207
2026-01-27,5.38,1389.36,0.3889
2026-01-28,8.85,1398.21,0.6372
2026-01-29,-8.47,1389.74,-0.6055
2026-01-30,9.85,1399.59,0.7085
2026-02-02,11.98,1411.57,0.8557
2026-02-03,51.74,1463.31,3.6657
2026-02-04,32.18,1495.49,2.1993
2026-02-05,42.77,1538.26,2.86
2026-02-06,62.78,1601.04,4.081
2026-02-09,45.32,1646.36,2.8305
2026-02-10,-1.04,1645.31,-0.0635
2026-02-11,23.67,1668.98,1.4384
2026-02-12,49.0,1717.98,2.9361
2026-02-13,-21.71,1696.27,-1.2635
2026-02-16,12.4,1708.67,0.731
2026-02-17,-9.32,1699.35,-0.5454
2026-02-18,25.74,1725.09,1.5145
2026-02-19,38.3,1763.39,2.2202
2026-02-20,20.97,1784.36,1.1891
2026-02-23,-35.26,1749.09,-1.9763
2026-02-24,27.09,1776.18,1.5489
2026-02-25,16.89,1793.07,0.9508
2026-02-26,0.45,1793.52,0.0249
2026-02-27,-8.91,1784.6,-0.497
2026-03-02,16.88,1801.49,0.9461
2026-03-03,5.87,1807.36,0.326
2026-03-04,-2.21,1805.15,-0.1225
2026-03-05,-20.46,1784.69,-1.1332
2026-03-06,-32.21,1752.48,-1.8047
2026-03-09,-46.01,1706.48,-2.6253
2026-03-10,45.77,1752.25,2.6824
2026-03-11,-0.97,1751.28,-0.0556
2026-03-12,-43.14,1708.14,-2.4632
2026-03-13,41.24,1749.38,2.4146
2026-03-16,49.34,1798.73,2.8207
2026-03-17,-4.44,1794.29,-0.2468
2026-03-18,17.46,1811.75,0.9732
2026-03-19,29.44,1841.19,1.6248
2026-03-20,-2.81,1838.38,-0.1528
2026-03-23,5.8,1844.17,0.3153
2026-03-24,-35.9,1808.27,-1.9466
2026-03-25,-9.25,1799.02,-0.5115
2026-03-26,56.95,1855.97,3.1655
2026-03-27,58.3,1914.27,3.1411
2026-03-30,-63.83,1850.44,-3.3344
2026-03-31,-19.37,1831.07,-1.0466
2026-04-01,31.82,1862.89,1.7378
2026-04-02,-39.28,1823.61,-2.1086
2026-04-03,28.8,1852.41,1.5791
2026-04-06,0.56,1852.96,0.0301
2026-04-07,-41.1,1811.87,-2.2179
2026-04-08,-36.5,1775.37,-2.0143
2026-04-09,52.51,1827.88,2.9578
2026-04-10,-6.82,1821.07,-0.3729
2026-04-13,-28.48,1792.59,-1.564
2026-04-14,43.18,1835.77,2.4088
2026-04-15,38.62,1874.38,2.1035
2026-04-16,21.27,1895.65,1.1346
2026-04-17,-34.08,1861.57,-1.7976
2026-04-20,-21.76,1839.81,-1.1692
2026-04-21,-38.04,1801.77,-2.0677
2026-04-22,4.74,1806.5,0.2628
2026-04-23,32.05,1838.56,1.7744
2026-04-24,-16.21,1822.35,-0.8814
2026-04-27,24.39,1846.74,1.3383
2026-04-28,-20.98,1825.76,-1.1362
2026-04-29,88.16,1913.92,4.8289
2026-04-30,44.49,1958.41,2.3243
2026-05-01,-41.09,1917.31,-2.0983
2026-05-04,-28.9,1888.41,-1.5073
2026-05-05,-6.18,1882.23,-0.3274
2026-05-06,53.68,1935.91,2.8518
2026-05-07,65.94,2001.85,3.4064
2026-05-08,7.2,2009.05,0.3595
2026-05-11,-33.26,1975.79,-1.6553
2026-05-12,40.68,2016.48,2.0592
2026-05-13,11.84,2028.32,0.5872
2026-05-14,25.49,2053.81,1.2566
2026-05-15,-4.98,2048.83,-0.2423
2026-05-18,-38.68,2010.15,-1.888
2026-05-19,52.11,2062.26,2.5925
2026-05-20,56.51,2118.78,2.7403
2026-05-21,-37.4,2081.37,-1.7654
2026-05-22,8.34,2089.72,0.4008
2026-05-25,54.6,2144.31,2.6126
2026-05-26,-33.76,2110.55,-1.5743
2026-05-27,-15.52,2095.04,-0.7352
2026-05-28,48.41,2143.44,2.3106
2026-05-29,65.34,2208.78,3.0485
2026-06-01,52.19,2260.98,2.3629
2026-06-02,23.38,2284.36,1.0342
2026-06-03,-10.18,2274.17,-0.4458
2026-06-04,-3.72,2270.45,-0.1637
2026-06-05,227.91,2498.36,10.0382
2026-06-08,-0.65,2497.72,-0.026
2026-06-09,59.83,2557.55,2.3955
2026-06-10,25.3,2582.85,0.9893
2026-06-11,25.91,2608.76,1.0031
2026-06-12,12.87,2621.63,0.4934
2026-06-15,16.69,2638.32,0.6365
2026-06-16,18.01,2656.32,0.6825
2026-06-17,47.82,2704.15,1.8004
2026-06-18,43.99,2748.13,1.6266
2026-06-19,-24.79,2723.34,-0.9022
2026-06-22,-6.98,2716.36,-0.2565
2026-06-23,96.05,2812.41,3.5361
2026-06-24,93.31,2905.72,3.3177
2026-06-25,49.6,2955.32,1.7071
2026-06-26,8.05,2963.37,0.2724
2026-06-29,-31.6,2931.77,-1.0665
2026-06-30,-11.59,2920.18,-0.3952
