symbol,direction,open_time,close_time,status,open_price,close_price,sl,tp,lot,sl_pips,risk_usd,risk_pct,pnl_pips,pnl_usd
GER40,BUY,2026-01-02 08:46:00+00:00,2026-01-02 09:24:00+00:00,sl,24584.8,24536.675,24536.675,24705.1125,0.5,481.3,24.06,0.241,-497.25,-24.06
GBPAUD,SELL,2026-01-02 10:03:00+00:00,2026-01-02 10:32:00+00:00,sl,2.01005,2.00846,2.00846,2.00567,0.25,15.9,24.56,0.246,14.15,24.57
EURUSD,SELL,2026-01-02 10:14:00+00:00,2026-01-02 11:08:00+00:00,sl,1.17349,1.17349,1.17349,1.17108,0.35000000000000003,8.1,24.25,0.243,-1.3,-0.0
GBPUSD,SELL,2026-01-02 10:24:00+00:00,2026-01-02 14:10:00+00:00,sl,1.34556,1.34492,1.34492,1.34229,0.24,11.9,24.52,0.246,4.85,13.32
GBPAUD,SELL,2026-01-02 10:36:00+00:00,2026-01-02 11:18:00+00:00,sl,2.00863,2.00809,2.00809,2.00429,0.25,15.8,24.31,0.243,3.6,8.32
EURUSD,SELL,2026-01-02 11:09:00+00:00,2026-01-02 14:18:00+00:00,sl,1.17338,1.17252,1.17252,1.17031,0.28,10.3,24.7,0.247,7.3,20.72
GBPAUD,SELL,2026-01-02 11:23:00+00:00,2026-01-02 15:19:00+00:00,sl,2.00838,2.01018,2.01018,2.00341,0.22,18.1,24.5,0.245,-19.87,-24.5
GBPUSD,SELL,2026-01-02 14:24:00+00:00,2026-01-02 16:24:00+00:00,sl,1.34475,1.34626,1.34626,1.34061,0.19,15.1,24.61,0.245,-16.66,-24.61
NAS100,BUY,2026-01-02 14:25:00+00:00,2026-01-02 16:40:00+00:00,sl,25522.52,25479.07515,25479.07515,25620.27092,0.5,434.4,21.72,0.216,-442.45,-21.72
SP500,SELL,2026-01-02 16:07:00+00:00,2026-01-02 16:33:00+00:00,sl,6889.75,6879.95,6879.95,6875.2075,5.0,58.2,25.01,0.25,94.4,42.14
DJ30,SELL,2026-01-02 16:28:00+00:00,2026-01-02 16:32:00+00:00,sl,48246.0,48117.65,48117.65,48042.33606,0.30000000000000004,740.6,19.11,0.191,1272.5,33.11
SP500,SELL,2026-01-02 16:39:00+00:00,2026-01-02 16:47:00+00:00,sl,6876.0,6884.19467,6884.19467,6855.51333,3.5,81.9,24.67,0.245,-85.55,-24.67
NAS100,BUY,2026-01-02 16:56:00+00:00,2026-01-02 17:10:00+00:00,sl,25582.57,25516.55897,25516.55897,25731.09482,0.30000000000000004,660.1,19.8,0.198,-668.11,-19.8
SP500,SELL,2026-01-02 17:04:00+00:00,2026-01-02 17:14:00+00:00,sl,6895.75,6876.7,6876.7,6863.01333,2.2,130.9,24.78,0.247,186.9,36.04
GBPAUD,BUY,2026-01-02 17:20:00+00:00,2026-01-02 18:12:00+00:00,tp,2.01339,2.0189,2.01732,2.0189,0.2,20.0,24.7,0.246,53.31,67.92
NAS100,SELL,2026-01-02 17:38:00+00:00,2026-01-02 17:58:00+00:00,sl,25355.27,25220.72,25220.72,25081.96945,0.2,1214.7,24.29,0.242,1337.5,26.91
GBPUSD,BUY,2026-01-02 17:52:00+00:00,2026-01-02 18:47:00+00:00,sl,1.34943,1.34767,1.34767,1.35428,0.16,17.6,24.26,0.242,-19.22,-24.26
NAS100,SELL,2026-01-02 18:11:00+00:00,2026-01-05 02:01:00+00:00,sl,25153.12,25313.08838,25313.08838,24793.19114,0.1,1599.7,16.0,0.159,-1607.68,-16.0
GBPAUD,BUY,2026-01-02 18:23:00+00:00,2026-01-02 19:08:00+00:00,sl,2.01781,2.01539,2.01539,2.02446,0.17,24.2,25.33,0.25,-25.98,-25.33
GBPAUD,BUY,2026-01-02 19:17:00+00:00,2026-01-02 21:07:00+00:00,sl,2.01497,2.01252,2.01252,2.02171,0.16,24.5,24.15,0.24,-26.29,-24.15
NZDUSD,SELL,2026-01-02 20:04:00+00:00,2026-01-05 00:55:00+00:00,tp,0.5767,0.57509,0.5767,0.57509,0.54,5.4,24.88,0.247,14.67,74.65
DJ30,SELL,2026-01-02 20:04:00+00:00,2026-01-05 08:57:00+00:00,sl,48163.0,48462.11538,48462.11538,47340.43269,0.1,2991.2,25.72,0.255,-3002.15,-25.72
Nikkei225,BUY,2026-01-05 01:01:00+00:00,2026-01-05 01:11:00+00:00,sl,51208.0,51026.3125,51026.3125,51753.0625,27.0,1816.9,24.53,0.242,-1946.88,-24.53
Nikkei225,BUY,2026-01-05 01:14:00+00:00,2026-01-05 01:42:00+00:00,sl,51028.0,50846.3125,50846.3125,51573.0625,27.0,1816.9,24.53,0.243,-1946.88,-24.53
Nikkei225,BUY,2026-01-05 01:45:00+00:00,2026-01-05 02:01:00+00:00,sl,50868.0,51424.3,51424.3,51602.90625,20.0,2449.7,24.5,0.243,5433.0,55.63
Nikkei225,BUY,2026-01-05 02:24:00+00:00,2026-01-05 17:29:00+00:00,sl,51538.0,52089.3,52089.3,52441.65625,16.0,3012.2,24.1,0.238,5383.0,44.1
GBPUSD,SELL,2026-01-05 10:05:00+00:00,2026-01-05 10:22:00+00:00,sl,1.34228,1.34362,1.34362,1.3386,0.21,13.4,24.15,0.239,-14.97,-24.15
