score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
432769,99;20291;0,7479;1067596,88;0,2052;1,897;;190;10;4;-30;-90;-35;-35;-65;-40;20;1,0;1,5;0,3;8;9;3;0,35;0,4;2,8;1;23;3;18
415438,56;19786;0,755;1067903,41;0,2331;1,913;;140;11;3;-30;-95;-35;-30;-65;-40;19;1,0;1,5;0,3;6;8;3;0,3;0,30000000000000004;2,6;3;23;3;18
408680,53;21339;0,7436;1060976,43;0,1234;1,789;;210;12;3;-30;-95;-35;-35;-75;-40;19;1,0;1,5;0,3;20;8;3;0,3;0,2;2,6;2;23;3;18
407192,07;15984;0,6284;1398653,57;0,3037;1,832;;170;11;4;-30;-85;-35;-35;-65;-45;12;1,0;2,75;0,3;14;9;4;0,35;0,4;3,2;1;23;3;19
407192,07;15984;0,6284;1398653,57;0,3037;1,832;;170;11;4;-30;-85;-35;-35;-65;-45;12;1,0;2,75;0,3;14;9;4;0,35;0,4;3,2;1;23;3;19
407192,07;15984;0,6284;1398653,57;0,3037;1,832;;170;11;4;-30;-85;-35;-35;-65;-45;12;1,0;2,75;0,3;14;9;4;0,35;0,4;3,2;1;23;3;19
407192,07;15984;0,6284;1398653,57;0,3037;1,832;;170;11;4;-30;-85;-35;-35;-65;-45;12;1,0;2,75;0,3;14;9;4;0,35;0,4;3,2;1;23;3;19
405312,13;16552;0,6312;1500170,47;0,3307;1,843;;160;11;4;-30;-85;-35;-35;-65;-45;12;1,0;2,75;0,3;14;6;4;0,35;0,4;3,4000000000000004;1;23;3;20
404956,45;16066;0,6275;1304801,01;0,2785;1,834;;170;11;4;-30;-85;-35;-35;-65;-45;12;1,0;2,75;0,3;14;6;4;0,35;0,4;3,2;1;23;3;20
404956,45;16066;0,6275;1304801,01;0,2785;1,834;;170;11;4;-30;-85;-35;-35;-65;-45;12;1,0;2,75;0,3;14;6;4;0,35;0,4;3,2;1;23;3;20
404956,45;16066;0,6275;1304801,01;0,2785;1,834;;170;11;4;-30;-85;-35;-35;-65;-45;12;1,0;2,75;0,3;16;6;4;0,35;0,4;3,2;1;23;3;20
404956,45;16066;0,6275;1304801,01;0,2785;1,834;;170;11;4;-30;-85;-35;-35;-65;-45;12;1,0;2,75;0,3;14;6;4;0,35;0,4;3,2;1;23;3;20
