score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
55,62;51;0,5882;92,08;0,0079;3,336;;210;11;10;-15;-70;-50;-25;-85;-55;13;2,25;2,5;0,6000000000000001;14;15;4;0,2;1,0;1,2;5;12;4;24
35,47;873;0,362;184,88;0,0592;1,187;;220;10;5;-20;-75;-45;-30;-75;-60;13;2,5;2,5;0,6000000000000001;14;4;7;0,15000000000000002;0,4;1,8;12;17;4;22
27,07;159;0,3208;84,41;0,0242;1,472;;210;35;12;-35;-70;-60;-30;-95;-45;17;1,0;2,25;0,6000000000000001;6;11;3;0,15000000000000002;1,0;1,6;4;13;4;24
22,59;617;0,3355;80,08;0,0956;1,107;;240;24;11;-25;-75;-45;-15;-90;-35;11;2,5;2,75;0,6000000000000001;14;5;5;0,25;0,5;1,8;2;17;4;24
11,7;277;0,2527;61,15;0,0235;1,265;;140;49;20;-30;-80;-60;-30;-95;-45;15;1,0;1,75;0,4;6;9;8;0,35;0,4;3,2;9;15;3;20
9,09;548;0,3376;42,01;0,0343;1,105;;60;10;3;-5;-95;-30;-20;-80;-55;20;3,0;1,5;0,6000000000000001;20;3;4;0,05;0,7;3,8;6;21;2;24
0,36;125;0,32;3,91;0,0299;1,022;;200;10;9;-15;-70;-50;-20;-85;-55;13;2,5;2,5;0,6000000000000001;16;15;5;0,25;1,0;1,2;8;16;3;23
-4,27;472;0,3983;-10,59;0,0996;0,981;;270;24;5;-25;-65;-30;-30;-80;-60;15;2,75;2,0;0,7;10;10;3;0,35;0,7;1,4;6;12;3;21
-6,15;253;0,2332;-16,85;0,0859;0,947;;170;14;9;-10;-85;-40;-25;-75;-50;12;2,0;2,75;0,5;20;13;6;0,1;0,8;2,8;10;14;2;23
-14,77;144;0,2222;-58,32;0,0774;0,735;;190;18;9;-15;-75;-50;-25;-80;-60;11;2,25;2,5;0,7;16;3;5;0,2;0,8;1,2;5;12;3;20
-24,05;99;0,1111;-96,22;0,0979;0,345;;270;42;6;-5;-80;-35;-5;-85;-70;12;1,75;2,75;0,3;12;8;8;0,1;0,30000000000000004;2,2;12;16;2;22
-31,75;281;0,1815;-125,76;0,1397;0,595;;130;31;12;-30;-65;-40;-5;-65;-45;20;1,0;1,75;0,4;10;6;2;0,3;0,5;2,0;7;13;4;18
-38,53;529;0,2836;-154,13;0,1541;0,756;;140;48;16;-15;-90;-65;-35;-65;-45;17;1,0;3,0;0,4;6;5;7;0,15000000000000002;0,6000000000000001;2,4000000000000004;3;19;0;20
-40,53;438;0,1918;-162,11;0,1845;0,687;;240;33;16;-20;-80;-55;-35;-95;-70;17;1,5;2,25;0,4;10;12;8;0,1;0,2;2,0;2;24;4;22
-56,79;1092;0,3407;-223,34;0,3157;0,803;;140;28;17;-30;-80;-45;-35;-75;-65;10;3,0;3,0;0,4;4;11;7;0,2;0,30000000000000004;2,6;0;23;1;22
-81,55;1055;0,2209;-326,21;0,3325;0,71;;220;22;14;-10;-70;-55;-15;-70;-65;10;2,0;2,5;0,6000000000000001;16;14;6;0,2;0,4;4,0;8;20;4;23
-131,05;997;0,1886;-524,18;0,5532;0,602;;180;16;7;-10;-75;-50;-25;-75;-60;14;2,25;2,25;0,5;12;9;4;0,05;0,6000000000000001;1,2;0;21;3;21
-999999,0;0;;;;;paraméter-kényszer nem teljesült;300;41;6;-35;-70;-40;-10;-70;-70;13;1,25;3,0;0,4;4;7;6;0,15000000000000002;0,8;3,0;11;18;0;22
-999999,0;0;;;;;paraméter-kényszer nem teljesült;110;37;17;-20;-80;-60;-35;-65;-30;16;1,75;2,0;0,7;18;13;7;0,25;0,2;1,6;11;19;0;18
-999999,0;0;;;;;paraméter-kényszer nem teljesült;240;18;3;-20;-65;-70;-20;-85;-55;14;2,5;2,5;0,5;14;15;2;0,2;0,9000000000000001;1,6;9;15;4;23
