score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;skip_monday_hours;skip_friday_hour
2448,21;3753;0,2734;11266,82;0,2369;1,731;;130;10;3;-25;-70;-30;-30;-95;-40;15;1,0;3,0;0,3;20;15;3;0,35;1,0;1,6;4;21
2448,21;3753;0,2734;11266,82;0,2369;1,731;;130;10;3;-25;-70;-30;-30;-95;-40;15;1,0;3,0;0,3;20;15;3;0,35;1,0;1,6;4;21
2448,21;3753;0,2734;11266,82;0,2369;1,731;;130;10;3;-25;-70;-30;-30;-95;-40;15;1,0;3,0;0,3;20;15;3;0,35;1,0;1,6;4;21
2448,21;3753;0,2734;11266,82;0,2369;1,731;;130;10;3;-25;-70;-30;-30;-95;-40;15;1,0;3,0;0,3;20;15;3;0,35;1,0;1,6;4;21
2448,21;3753;0,2734;11266,82;0,2369;1,731;;130;10;3;-25;-70;-30;-30;-95;-40;15;1,0;3,0;0,3;20;15;3;0,35;1,0;1,6;4;21
1958,85;3619;0,2747;8818,05;0,2382;1,769;;120;10;3;-25;-70;-30;-30;-95;-40;16;1,0;3,0;0,3;20;14;3;0,35;1,0;1,6;4;21
1958,85;3619;0,2747;8818,05;0,2382;1,769;;120;10;3;-25;-70;-30;-30;-95;-40;16;1,0;3,0;0,3;20;14;3;0,35;1,0;1,6;4;21
1876,37;3584;0,2723;9165,24;0,2727;1,692;;120;10;3;-25;-70;-30;-30;-95;-40;15;1,0;3,0;0,3;20;15;3;0,35;1,0;1,6;4;21
1876,37;3584;0,2723;9165,24;0,2727;1,692;;120;10;3;-25;-70;-30;-30;-95;-40;15;1,0;3,0;0,3;20;15;3;0,35;1,0;1,6;4;21
1876,37;3584;0,2723;9165,24;0,2727;1,692;;120;10;3;-25;-70;-30;-30;-95;-40;15;1,0;3,0;0,3;20;15;3;0,35;1,0;1,6;4;21
1876,37;3584;0,2723;9165,24;0,2727;1,692;;120;10;3;-25;-70;-30;-30;-95;-40;15;1,0;3,0;0,3;20;15;3;0,35;1,0;1,6;4;21
