score,trades,win_rate,total_pnl,max_drawdown,profit_factor,note,sma_period,wpr_m15_period,wpr_m1_period,wpr_m15_sell_extreme,wpr_m15_buy_extreme,wpr_m15_trigger,wpr_m1_sell_extreme,wpr_m1_buy_extreme,wpr_m1_trigger,atr_period,sl_atr_mult,tp_rr_ratio,breakeven_pct,trail_activation_pips,trail_distance_pips,max_open_slots,max_spread_atr_ratio,atr_min_pct,atr_max_pct,trade_hour_start,trade_hour_end,skip_monday_hours,skip_friday_hour
338.26,251,0.4781,461.49,0.0875,2.773,,60,17,7,-5,-85,-70,-15,-65,-35,14,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,22,0,22
320.94,298,0.4362,507.72,0.0789,2.829,,60,16,7,-5,-85,-70,-25,-65,-35,13,1.25,2.5,0.4,8,15,2,0.05,0.7,1.4,4,22,0,21
304.03,158,0.519,381.18,0.0528,3.826,,60,17,7,-5,-90,-70,-15,-65,-30,14,1.25,2.5,0.4,8,13,2,0.05,0.7,1.2,3,22,0,22
301.17,262,0.4466,456.74,0.076,2.81,,60,16,7,-5,-85,-70,-20,-65,-35,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,4,22,0,21
296.43,103,0.6019,321.84,0.0217,5.822,,60,16,9,-5,-90,-70,-15,-65,-30,14,1.0,2.5,0.4,6,12,2,0.05,0.7,1.2,3,21,0,22
295.25,154,0.513,371.26,0.0481,3.901,,60,17,8,-5,-90,-70,-15,-65,-30,14,1.25,2.5,0.4,8,13,2,0.05,0.7,1.2,4,22,0,22
279.51,268,0.4403,449.72,0.0747,2.71,,60,17,7,-5,-85,-70,-20,-65,-40,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,22,0,21
271.61,271,0.428,410.39,0.0811,2.529,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,22,0,22
271.61,271,0.428,410.39,0.0811,2.529,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,22,0,22
271.24,164,0.4939,362.07,0.0426,3.689,,60,16,8,-5,-90,-70,-15,-65,-30,14,1.0,2.5,0.4,8,13,2,0.05,0.7,1.2,3,22,0,22
269.59,298,0.4228,456.6,0.0623,2.57,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,23,0,22
267.65,271,0.4133,408.87,0.0813,2.524,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,5,22,2,22
267.65,271,0.4133,408.87,0.0813,2.524,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,4,22,0,22
267.65,271,0.4133,408.87,0.0813,2.524,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,4,22,0,22
267.65,271,0.4133,408.87,0.0813,2.524,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,15,2,0.05,0.7,1.4,4,22,0,22
267.65,271,0.4133,408.87,0.0813,2.524,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,4,22,0,22
265.89,298,0.4094,454.84,0.0623,2.564,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,15,2,0.05,0.7,1.4,6,23,0,22
265.89,298,0.4094,454.84,0.0623,2.564,,60,17,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,15,2,0.05,0.7,1.4,8,23,0,22
255.39,294,0.4048,413.96,0.081,2.415,,60,17,8,-5,-85,-70,-20,-65,-35,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,22,0,23
250.85,242,0.4215,362.15,0.0893,2.543,,60,16,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,15,2,0.05,0.7,1.4,7,23,0,22
247.82,263,0.4068,364.16,0.0841,2.411,,60,17,7,-5,-85,-70,-15,-65,-35,12,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,5,22,0,22
247.82,263,0.4068,364.16,0.0841,2.411,,60,17,7,-5,-85,-70,-15,-65,-35,12,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,5,22,0,22
240.49,151,0.4901,317.97,0.0461,3.284,,60,16,8,-5,-90,-70,-15,-65,-30,14,1.25,2.5,0.4,8,12,2,0.05,0.7,1.2,3,22,0,22
229.79,196,0.4286,313.59,0.0737,2.663,,60,17,8,-5,-85,-70,-15,-65,-30,14,1.25,2.5,0.4,8,13,2,0.05,0.7,1.2,4,22,0,22
229.79,196,0.4286,313.59,0.0737,2.663,,60,17,8,-5,-85,-70,-15,-65,-30,14,1.25,2.5,0.4,8,13,2,0.05,0.7,1.2,4,22,0,22
229.79,196,0.4286,313.59,0.0737,2.663,,60,17,8,-5,-85,-70,-15,-65,-30,14,1.25,2.5,0.4,8,13,2,0.05,0.7,1.2,4,22,0,22
229.79,196,0.4286,313.59,0.0737,2.663,,60,17,8,-5,-85,-70,-15,-65,-30,14,1.25,2.5,0.4,8,13,2,0.05,0.7,1.2,4,22,0,22
224.72,239,0.41,313.37,0.0995,2.293,,60,16,7,-5,-85,-70,-15,-65,-35,12,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,23,0,22
224.71,239,0.41,313.36,0.0995,2.293,,60,16,7,-5,-85,-70,-15,-65,-35,12,1.25,2.5,0.4,8,15,2,0.05,0.7,1.4,8,23,0,22
224.66,239,0.41,313.32,0.0995,2.293,,60,16,7,-5,-85,-70,-15,-65,-35,12,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,4,23,0,22
221.76,304,0.3783,406.65,0.0655,2.392,,60,17,6,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,5,24,0,22
221.76,304,0.3783,406.65,0.0655,2.392,,60,17,6,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,10,15,2,0.05,0.7,1.4,8,23,0,22
220.13,237,0.4051,333.5,0.0862,2.403,,60,16,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,15,2,0.05,0.7,1.4,4,22,0,22
213.19,264,0.3939,350.31,0.0924,2.234,,50,19,9,-20,-85,-70,-20,-65,-35,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,22,0,24
207.79,129,0.5039,273.93,0.0386,3.241,,70,14,14,-5,-90,-65,-15,-80,-30,14,1.0,2.5,0.4,6,12,2,0.05,0.7,1.2,3,21,0,22
198.77,306,0.3627,317.44,0.0982,2.102,,60,18,9,-10,-85,-70,-20,-65,-40,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,22,0,23
197.14,195,0.4205,277.85,0.0613,2.339,,80,14,12,-5,-90,-65,-15,-65,-30,14,1.0,2.5,0.4,6,12,2,0.05,0.7,1.2,3,21,0,22
193.89,149,0.4564,250.49,0.0572,2.615,,80,14,14,-5,-90,-65,-15,-80,-30,14,1.0,2.5,0.4,6,12,2,0.05,0.7,1.2,3,21,0,22
190.47,249,0.3815,325.38,0.0803,2.33,,60,16,10,-5,-85,-70,-20,-65,-35,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,4,22,0,21
190.32,268,0.3731,306.18,0.0663,2.095,,50,16,6,-5,-85,-70,-20,-65,-35,14,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,6,22,0,22
186.32,180,0.5611,278.58,0.0249,2.8,,90,17,17,-5,-75,-65,-15,-80,-30,15,1.5,2.25,0.4,6,4,2,0.05,0.8,1.2,3,21,3,22
183.28,244,0.4098,312.05,0.077,2.146,,60,16,8,-5,-85,-70,-25,-65,-35,13,1.25,2.5,0.7,8,13,2,0.05,0.7,1.4,4,22,0,22
183.28,104,0.4904,229.16,0.0295,4.085,,60,18,7,-5,-90,-70,-15,-65,-30,14,1.25,2.5,0.4,8,13,2,0.05,0.7,1.2,4,22,0,22
182.96,214,0.3925,246.31,0.0693,2.054,,80,14,12,-5,-90,-65,-15,-65,-30,14,1.0,2.5,0.4,6,12,2,0.05,0.7,1.2,3,22,0,22
179.37,132,0.4621,258.75,0.0436,3.211,,60,16,12,-5,-90,-70,-15,-65,-30,14,1.0,2.5,0.4,8,13,2,0.05,0.7,1.2,3,22,0,22
179.37,132,0.4621,258.75,0.0436,3.211,,60,16,12,-5,-90,-70,-15,-65,-30,14,1.0,2.5,0.4,8,13,2,0.05,0.7,1.2,3,22,0,22
179.37,132,0.4621,258.75,0.0436,3.211,,60,16,12,-5,-90,-70,-15,-65,-30,14,1.0,2.5,0.4,8,12,2,0.05,0.7,1.2,3,22,0,22
178.87,224,0.4018,297.19,0.0763,2.183,,50,17,7,-5,-85,-70,-20,-65,-35,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,4,22,0,21
176.49,82,0.5488,193.75,0.0352,3.331,,60,16,15,-5,-90,-65,-15,-65,-30,14,1.0,2.5,0.4,6,12,2,0.05,0.7,1.2,3,21,0,22
173.79,313,0.3578,347.45,0.0677,2.06,,60,17,6,-5,-85,-70,-15,-65,-40,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.4,5,24,0,22
173.78,306,0.3595,304.05,0.1091,1.911,,60,17,7,-5,-85,-70,-20,-65,-45,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,4,22,0,23
173.55,218,0.5046,186.27,0.0814,2.001,,80,16,18,-5,-75,-65,-15,-80,-30,15,2.0,2.5,0.4,6,9,2,0.05,0.7,1.2,2,21,3,22
171.78,223,0.4036,274.28,0.0931,2.147,,60,15,7,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,5,23,0,22
171.57,139,0.446,214.3,0.0572,2.382,,80,14,15,-5,-90,-65,-15,-80,-30,14,1.0,2.5,0.4,6,12,2,0.05,0.7,1.2,3,21,3,22
171.57,139,0.446,214.3,0.0572,2.382,,80,14,15,-5,-90,-65,-15,-80,-30,14,1.0,2.5,0.4,6,12,2,0.05,0.7,1.2,3,21,0,22
