score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
2912,65;327;0,4373;5490,52;0,1685;2,648;;120;30;13;-10;-65;-30;-25;-70;-60;10;2,25;1,5;0,4;10;8;8;0,05;0,7;2,0;11;21;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;32;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;11;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;13;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;13;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;32;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;12;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;32;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;32;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;32;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;32;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2808,22;317;0,4574;5376,87;0,1603;2,583;;110;31;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;11;8;0,05;0,8;2,4000000000000004;12;20;2;18
2728,32;317;0,4543;5316,34;0,1603;2,565;;110;30;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2728,32;317;0,4543;5316,34;0,1603;2,565;;110;30;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;13;8;0,05;0,8;2,4000000000000004;12;20;2;18
2728,32;317;0,4543;5316,34;0,1603;2,565;;110;30;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
2728,32;317;0,4543;5316,34;0,1603;2,565;;110;30;12;-10;-65;-35;-25;-70;-60;11;2,0;1,5;0,4;10;12;8;0,05;0,8;2,4000000000000004;12;20;2;18
