score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
595,29;199;0,6633;607,77;0,012;5,478;;240;44;18;-25;-85;-35;-15;-75;-35;13;1,25;2,5;0,5;20;3;8;0,05;0,9000000000000001;1,6;0;12;4;23
564,48;179;0,6872;544,35;0,0106;6,023;;240;16;17;-25;-85;-40;-15;-75;-35;13;1,25;2,5;0,5;18;13;5;0,05;0,9000000000000001;1,2;2;12;1;23
522,5;270;0,5926;678,76;0,0109;3,993;;270;16;14;-20;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;16;13;5;0,05;0,9000000000000001;1,2;1;12;1;23
516,37;313;0,5942;711,17;0,0302;3,369;;230;43;19;-30;-85;-35;-15;-75;-30;14;1,25;2,5;0,5;18;4;8;0,05;0,9000000000000001;1,8;1;12;4;23
515,68;203;0,6355;557,58;0,0117;4,718;;240;19;16;-25;-85;-35;-15;-75;-35;13;1,25;2,5;0,5;18;13;5;0,05;0,9000000000000001;1,2;2;12;4;23
511,7;219;0,6347;583,22;0,0214;4,51;;230;16;19;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,6;2;12;4;23
507,09;219;0,6256;578,42;0,0191;4,469;;230;43;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,8;1;12;4;23
507,09;219;0,6256;578,42;0,0191;4,469;;230;43;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,8;1;12;4;23
507,09;219;0,6256;578,42;0,0191;4,469;;230;43;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,8;1;12;4;23
506,99;313;0,6006;702,72;0,0302;3,351;;230;43;19;-30;-85;-35;-15;-75;-30;14;1,25;2,5;0,5;16;4;8;0,05;0,9000000000000001;1,8;1;12;4;23
500,3;186;0,6559;535,72;0,0118;4,937;;230;41;19;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,6;1;12;4;23
500,3;186;0,6559;535,72;0,0118;4,937;;230;41;19;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,6;1;12;4;23
497,58;426;0,493;890,0;0,033;2,973;;250;17;15;-25;-85;-35;-15;-75;-35;13;1,25;2,5;0,5;18;14;5;0,05;0,7;1,2;2;12;1;23
491,42;458;0,5218;875,3;0,0331;2,843;;260;20;14;-25;-85;-35;-15;-75;-35;12;1,5;2,5;0,5;18;13;6;0,15000000000000002;0,7;1,2;3;12;1;23
490,86;223;0,6323;570,26;0,0129;4,265;;240;44;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,6;0;12;4;23
487,5;193;0,6425;540,73;0,0235;4,976;;230;17;18;-20;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,6;2;12;4;23
485,37;248;0,6008;609,53;0,026;4,055;;230;16;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,6;2;12;4;23
485,37;248;0,6008;609,53;0,026;4,055;;230;16;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,6;2;12;4;23
484,49;216;0,6204;561,31;0,0108;4,415;;230;42;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,8;1;12;4;23
484,49;216;0,6204;561,31;0,0108;4,415;;230;42;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,8;1;12;4;23
484,49;216;0,6204;561,31;0,0108;4,415;;230;42;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,8;1;12;4;23
484,49;216;0,6204;561,31;0,0108;4,415;;230;42;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,8;1;12;4;23
484,49;216;0,6204;561,31;0,0108;4,415;;230;42;18;-30;-85;-35;-15;-75;-35;14;1,25;2,5;0,5;18;3;8;0,05;0,9000000000000001;1,8;1;12;4;23
