score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
1576,96;1779;0,4812;4052,42;0,1323;2,137;;170;30;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1439,96;1790;0,4799;3853,82;0,1689;2,034;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;11;3;0,3;0,2;4,0;6;15;3;20
1439,96;1790;0,4799;3853,82;0,1689;2,034;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;11;3;0,3;0,2;4,0;6;15;3;20
1439,96;1790;0,4799;3853,82;0,1689;2,034;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;11;3;0,3;0,2;4,0;6;15;3;20
1439,96;1790;0,4799;3853,82;0,1689;2,034;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;11;3;0,3;0,2;4,0;6;15;3;20
1439,96;1790;0,4799;3853,82;0,1689;2,034;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;11;3;0,3;0,2;4,0;6;15;3;20
1376,95;1802;0,4756;3757,38;0,168;2,019;;180;30;3;-35;-70;-55;-5;-70;-65;14;2,25;3,0;0,6000000000000001;4;10;3;0,3;0,2;4,0;6;15;3;20
1348,67;1800;0,475;3727,17;0,1719;1,989;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1347,39;1800;0,475;3721,27;0,1715;1,991;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1347,39;1800;0,475;3721,27;0,1715;1,991;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1340,66;1744;0,4708;3816,87;0,1188;1,972;;190;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;11;3;0,3;0,2;4,0;6;15;3;20
1340,66;1744;0,4708;3816,87;0,1188;1,972;;190;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;11;3;0,3;0,2;4,0;6;15;3;20
1285,78;1739;0,4664;3733,65;0,1172;1,951;;190;30;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1279,84;1800;0,475;3575,31;0,1671;1,964;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;4,0;6;15;3;20
1279,84;1800;0,475;3575,31;0,1671;1,964;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;4,0;6;15;3;20
1279,84;1800;0,475;3575,31;0,1671;1,964;;180;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;4,0;6;15;3;20
1278,46;1752;0,4663;3727,56;0,1154;1,938;;190;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1278,46;1752;0,4663;3727,56;0,1154;1,938;;190;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1276,29;1799;0,468;3661,48;0,1607;1,956;;180;32;3;-35;-70;-55;-5;-70;-65;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1273,39;1797;0,4713;3572,94;0,1734;1,968;;180;30;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1257,71;1821;0,4624;3780,08;0,1381;1,899;;190;33;3;-35;-70;-55;-5;-70;-60;15;2,25;3,0;0,6000000000000001;4;10;3;0,3;0,2;4,0;6;15;3;20
1236,87;1823;0,4608;3758,46;0,1401;1,892;;190;33;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;10;3;0,3;0,2;4,0;6;15;3;20
1210,23;1797;0,4713;3414,91;0,1679;1,949;;180;30;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;3,8;6;15;3;20
1210,23;1797;0,4713;3414,91;0,1679;1,949;;180;30;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;4,0;6;15;3;20
1201,84;1752;0,4663;3561,06;0,1106;1,908;;190;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;3,8;6;15;3;20
1201,84;1752;0,4663;3561,06;0,1106;1,908;;190;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;3,8;6;15;3;20
1201,84;1752;0,4663;3561,06;0,1106;1,908;;190;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;3,8;6;15;3;20
1201,84;1752;0,4663;3561,06;0,1106;1,908;;190;29;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;3,8;6;15;3;20
1200,62;1739;0,4664;3546,59;0,112;1,916;;190;30;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;3,8;6;15;3;20
1200,62;1739;0,4664;3546,59;0,112;1,916;;190;30;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;9;3;0,3;0,2;4,0;6;15;3;20
1200,62;1739;0,4664;3546,59;0,112;1,916;;190;30;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;4;9;3;0,3;0,2;4,0;6;15;3;20
1197,58;1751;0,4654;3393,8;0,1679;1,942;;180;28;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;6;11;3;0,3;0,2;4,0;6;15;3;20
1197,58;1751;0,4654;3393,8;0,1679;1,942;;180;28;3;-35;-70;-55;-5;-70;-60;14;2,25;3,0;0,6000000000000001;8;11;3;0,3;0,2;4,0;6;15;3;20
1197,15;1460;0,4863;3376,72;0,1279;2,005;;170;34;4;-25;-65;-55;-5;-70;-65;13;2,25;3,0;0,6000000000000001;6;10;3;0,25;0,30000000000000004;3,8;9;15;3;20
1191,84;1799;0,468;3489,68;0,1599;1,92;;180;32;3;-35;-70;-55;-5;-70;-65;14;2,25;3,0;0,6000000000000001;6;9;3;0,3;0,2;4,0;6;15;3;20
