score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
409,34;193;0,6269;435,03;0,0155;4,995;;210;18;6;-30;-95;-70;-35;-95;-40;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
409,34;193;0,6269;435,03;0,0155;4,995;;210;18;6;-30;-95;-70;-35;-95;-40;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
409,34;193;0,6269;435,03;0,0155;4,995;;210;18;6;-30;-95;-70;-35;-95;-40;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
409,34;193;0,6269;435,03;0,0155;4,995;;210;18;6;-30;-95;-70;-35;-95;-40;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
366,58;295;0,5356;520,93;0,0168;3,753;;200;16;6;-25;-95;-70;-30;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
294,06;168;0,5952;349,68;0,0156;4,602;;210;20;6;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
281,41;172;0,5814;345,18;0,0156;4,338;;210;19;6;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
268,29;357;0,4902;506,43;0,0236;2,736;;190;16;6;-25;-85;-70;-30;-95;-40;17;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
261,69;330;0,4939;474,66;0,0142;2,833;;200;15;6;-25;-95;-70;-30;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
254,87;221;0,5294;373,58;0,0149;3,502;;210;18;6;-30;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;19
252,77;176;0,5682;334,33;0,0156;3,926;;210;18;6;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
252,77;176;0,5682;334,33;0,0156;3,926;;210;18;6;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
252,77;176;0,5682;334,33;0,0156;3,926;;210;18;6;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
245,25;230;0,5304;371,02;0,0184;3,217;;220;18;6;-30;-95;-70;-35;-95;-40;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;19
243,89;184;0,5543;329,47;0,0184;3,687;;220;20;6;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
243,75;453;0,4702;545,25;0,0241;2,328;;210;16;6;-25;-85;-70;-35;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,5;3,2;8;13;2;24
242,23;254;0,5;374,09;0,0261;3,367;;190;16;8;-25;-95;-70;-35;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,5;3,4000000000000004;8;13;2;24
239,38;216;0,5278;355,51;0,0133;3,466;;210;18;6;-25;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;19
239,38;216;0,5278;355,51;0,0133;3,466;;210;18;6;-25;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;20
239,38;216;0,5278;355,51;0,0133;3,466;;210;18;6;-25;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;20
239,03;216;0,5278;354,82;0,0133;3,449;;210;18;6;-25;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;18
236,42;223;0,5247;357,34;0,0132;3,433;;210;17;6;-30;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;19
236,42;223;0,5247;357,34;0,0132;3,433;;210;17;6;-30;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;19
229,04;218;0,5229;345,81;0,0124;3,423;;210;17;6;-25;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;18
229,04;218;0,5229;345,81;0,0124;3,423;;210;17;6;-25;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;24
226,85;379;0,4828;519,37;0,0215;2,411;;180;16;6;-25;-85;-70;-30;-95;-40;16;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
205,86;1185;0,4101;781,4;0,0362;1,64;;210;19;4;-10;-70;-60;-30;-95;-35;18;2,0;2,0;0,5;8;12;5;0,15000000000000002;0,4;1,2;5;13;2;24
196,33;416;0,4447;436,26;0,0296;2,287;;170;16;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
196,33;416;0,4447;436,26;0,0296;2,287;;170;16;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
195,13;323;0,4985;386,29;0,0167;2,504;;200;15;6;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
184,65;383;0,4569;408,3;0,0249;2,237;;180;15;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,2;8;13;2;24
184,55;389;0,4602;414,3;0,0302;2,205;;180;14;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;13;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
184,34;411;0,455;481,43;0,0307;2,099;;180;15;6;-25;-85;-70;-30;-95;-40;16;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
183,74;389;0,4602;413,1;0,0304;2,201;;180;14;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
179,71;388;0,4613;461,85;0,0243;2,29;;190;15;6;-25;-85;-70;-30;-95;-40;17;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
178,19;316;0,4684;388,46;0,0195;2,535;;160;16;6;-25;-95;-70;-30;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
176,35;513;0,4347;502,54;0,0267;1,968;;210;14;6;-25;-85;-70;-35;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,5;2,8;8;13;2;24
175,91;380;0,45;406,14;0,0272;2,325;;160;16;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
175,91;380;0,45;406,14;0,0272;2,325;;160;16;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
175,45;413;0,4528;468,91;0,0302;2,069;;180;15;6;-25;-85;-70;-30;-95;-40;17;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
173,23;151;0,543;255,68;0,012;3,467;;210;19;7;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
173,14;171;0,5263;259,92;0,0206;3,146;;220;21;6;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
173,12;422;0,4408;445,99;0,0243;2,182;;210;16;6;-25;-85;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;8;12;2;24
170,77;1034;0,4226;643,76;0,044;1,611;;200;19;5;-25;-90;-60;-30;-95;-35;18;2,0;2,0;0,5;8;12;4;0,15000000000000002;0,4;3,0;5;13;2;24
169,2;329;0,465;389,36;0,0188;2,408;;160;15;6;-25;-95;-70;-30;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
166,59;362;0,4503;380,87;0,0194;2,392;;190;16;6;-25;-85;-70;-35;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,5;3,0;9;13;2;24
