score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
8137,44;241;0,6058;8379,55;0,0445;8,435;;100;11;8;-20;-80;-30;-25;-85;-60;20;1,75;2,75;0,5;6;9;8;0,25;0,9000000000000001;2,8;6;12;4;22
8065,37;263;0,5856;8387,38;0,1055;7,704;;90;10;6;-20;-80;-30;-30;-80;-60;20;1,75;2,75;0,5;6;10;8;0,25;0,9000000000000001;2,8;7;12;3;22
7918,02;220;0,6273;7994,94;0,0614;9,232;;100;12;8;-20;-80;-30;-25;-85;-60;20;1,75;2,75;0,5;6;9;8;0,25;0,9000000000000001;2,8;6;12;4;22
7534,98;227;0,5683;7990,92;0,1264;6,842;;110;12;8;-20;-80;-30;-25;-85;-60;20;1,75;3,0;0,5;6;9;8;0,25;0,9000000000000001;2,6;6;12;0;22
7470,8;258;0,5775;7875,14;0,1097;5,331;;110;12;7;-20;-80;-30;-25;-85;-60;19;1,75;2,75;0,5;6;9;8;0,25;0,9000000000000001;2,8;6;12;4;22
7328,79;234;0,6026;7567,16;0,114;6,302;;100;12;7;-20;-80;-30;-20;-80;-60;20;1,75;2,75;0,5;6;9;8;0,25;0,9000000000000001;2,8;6;12;3;22
7320,58;277;0,5668;7970,73;0,1019;5,137;;100;10;7;-20;-80;-30;-30;-80;-60;20;1,75;2,75;0,5;6;9;8;0,25;0,9000000000000001;3,0;6;12;2;22
7211,61;242;0,5785;7566,91;0,0922;7,668;;90;10;7;-20;-80;-30;-25;-80;-60;20;1,75;2,75;0,5;6;9;8;0,25;0,9000000000000001;2,8;7;12;3;22
7211,61;242;0,5785;7566,91;0,0922;7,668;;90;10;7;-20;-80;-30;-25;-80;-60;20;1,75;2,75;0,5;6;9;8;0,25;0,9000000000000001;2,8;7;12;4;22
7208,15;239;0,5816;7550,24;0,0922;7,925;;90;10;7;-20;-80;-30;-25;-80;-65;20;1,75;2,75;0,5;4;9;8;0,25;0,9000000000000001;2,8;7;12;3;22
7204,82;263;0,5437;7745,84;0,1006;5,939;;110;11;8;-20;-80;-30;-25;-85;-60;19;1,75;2,75;0,5;6;8;8;0,25;0,9000000000000001;2,8;6;12;4;22
7199,87;289;0,5294;7946,49;0,1411;5,852;;90;10;6;-20;-80;-30;-25;-80;-65;20;1,75;2,75;0,5;4;8;8;0,25;0,8;2,8;7;12;3;22
7107,14;260;0,55;7659,21;0,1055;6,891;;100;10;6;-20;-80;-30;-30;-80;-60;20;1,75;2,75;0,5;6;9;8;0,25;0,9000000000000001;2,8;7;12;0;22
7101,05;255;0,5686;7565,34;0,1159;5,343;;100;11;7;-20;-80;-30;-25;-85;-60;20;1,75;2,75;0,5;6;9;8;0,25;0,9000000000000001;2,8;6;12;3;22
