score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
3531,01;254;0,7992;3376,97;0,0753;4,797;;100;28;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;14;4;7;0,25;0,2;3,2;2;12;2;18
3528,05;254;0,7992;3375,13;0,0753;4,795;;100;28;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;14;5;7;0,25;0,2;3,8;2;12;2;24
3528,05;254;0,7992;3375,13;0,0753;4,795;;100;27;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;5;7;0,25;0,2;3,8;2;12;2;18
3528,05;254;0,7992;3375,13;0,0753;4,795;;100;27;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;5;7;0,25;0,2;3,6000000000000005;2;12;2;24
3472,64;254;0,7953;3333,91;0,0753;4,668;;100;27;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;4;7;0,25;0,2;3,8;2;12;2;19
3472,64;254;0,7953;3333,91;0,0753;4,668;;100;27;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;4;7;0,25;0,2;3,2;2;12;2;18
3472,64;254;0,7953;3333,91;0,0753;4,668;;100;26;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;4;7;0,25;0,2;2,8;2;12;2;18
3211,1;228;0,8026;3001,25;0,0469;4,849;;100;25;17;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;0;12;2;24
3208,42;228;0,8026;2999,58;0,0469;4,847;;100;26;17;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,35;0,2;2,0;1;12;2;24
3166,94;226;0,8009;2952,97;0,0454;4,849;;100;26;17;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;18;5;8;0,25;0,2;3,8;1;12;2;24
