score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
13078,62;1537;0,6851;24619,12;0,2155;2,081;;240;47;4;-35;-65;-40;-25;-65;-45;13;2,5;2,25;0,3;20;6;4;0,25;1,0;2,0;7;22;1;23
13078,62;1537;0,6851;24619,12;0,2155;2,081;;240;47;4;-35;-65;-40;-25;-65;-45;13;2,5;2,25;0,3;20;6;4;0,25;1,0;2,0;7;22;1;23
11468,62;1463;0,6705;22142,91;0,1744;2,01;;250;49;3;-30;-65;-40;-20;-65;-45;14;2,5;2,25;0,3;20;6;4;0,25;1,0;1,8;7;23;1;23
11330,57;1240;0,7016;22205,09;0,1434;2,286;;260;48;3;-5;-65;-35;-35;-65;-45;14;2,5;2,25;0,3;18;7;4;0,1;1,0;1,8;7;23;1;23
11326,33;1516;0,6695;22160,07;0,1756;1,958;;260;50;3;-30;-65;-40;-25;-65;-45;14;2,5;2,25;0,3;20;6;4;0,25;1,0;1,8;7;23;1;23
11289,81;1318;0,6813;21301,21;0,2342;2,086;;240;46;4;-25;-65;-40;-30;-65;-45;13;2,5;2,25;0,3;20;6;4;0,25;1,0;2,0;7;22;1;23
10961,38;1595;0,6702;23030,75;0,2108;1,937;;250;47;4;-35;-65;-40;-30;-65;-45;13;2,5;2,25;0,3;20;6;4;0,35;1,0;1,8;7;23;1;23
10848,72;1157;0,6975;19747,5;0,1455;2,208;;250;48;3;-5;-65;-40;-35;-65;-45;14;2,5;2,25;0,3;20;6;4;0,25;1,0;1,8;7;23;1;23
10848,72;1157;0,6975;19747,5;0,1455;2,208;;250;48;3;-5;-65;-40;-35;-65;-45;14;2,5;2,25;0,3;20;6;4;0,25;1,0;1,8;7;23;1;23
10848,72;1157;0,6975;19747,5;0,1455;2,208;;250;48;3;-5;-65;-40;-35;-65;-45;14;2,5;2,25;0,3;20;6;4;0,25;1,0;1,8;7;23;1;23
