time,event,strategy,symbol,direction,lot,price,sl,tp,ticket,magic,pnl_usd
2026-06-30T11:38:02.929698+00:00,,,GER40,,,,,,1517493472,,0.0
2026-06-30T11:48:06.276534+00:00,,,GER40,,,,,,1517547113,,0.0
2026-06-30T11:51:07.370252+00:00,,,GER40,,,,,,1517558880,,0.0
2026-06-30T12:01:00.668811+00:00,,,GER40,,,,,,1517594237,,0.0
2026-06-30T12:08:03.242009+00:00,,,GER40,,,,,,1517621960,,0.0
2026-06-30T12:17:06.345143+00:00,,,GER40,,,,,,1517667148,,0.0
2026-06-30T12:31:00.812098+00:00,,,GER40,,,,,,1517759596,,0.0
2026-06-30T12:48:06.707409+00:00,,,GER40,,,,,,1517860576,,0.0
2026-06-30T12:50:07.613218+00:00,,,GER40,,,,,,1517868096,,0.0
2026-06-30T12:52:08.573007+00:00,,,GER40,,,,,,1517875357,,0.0
2026-06-30T12:59:01.079268+00:00,,,GER40,,,,,,1517922567,,0.0
2026-06-30T16:04:07.954310+00:00,,,EURUSD,,,,,,1519277952,,0.63
2026-06-30T17:15:26.943015+00:00,,,EURUSD,,,,,,1519532866,,0.19
2026-06-30T18:50:52.588886+00:00,,,EURUSD,,,,,,1519673569,,0.0
2026-06-30T19:05:07.941356+00:00,,,EURUSD,,,,,,1519929045,,0.0
2026-06-30T20:21:16.633272+00:00,,,EURUSD,,,,,,1519340576,,0.03
2026-07-01T12:30:03.692784+00:00,,,EURUSD,,,,,,1524014046,,0.0
2026-07-01T12:44:30.817190+00:00,,,EURUSD,,,,,,1524071175,,0.0
2026-07-01T12:56:18.938283+00:00,,,UKOUSD,,,,,,1524173171,,0.21
2026-07-01T13:18:41.147903+00:00,,,XAUUSD,,,,,,1523735405,,1.19
2026-07-01T13:32:55.698065+00:00,,,UKOUSD,,,,,,1524239487,,0.65
2026-07-01T14:22:22.169817+00:00,,,XAUUSD,,,,,,1525113956,,4.69
2026-07-01T14:23:12.734159+00:00,,,NAS100,,,,,,1525240833,,1.38
2026-07-01T14:28:26.132284+00:00,,,UKOUSD,,,,,,1524828303,,0.32
2026-07-01T15:18:07.277116+00:00,,,XAUUSD,,,,,,1525905645,,1.75
2026-07-01T16:10:09.595977+00:00,,,XAUUSD,,,,,,1526082253,,2.74
2026-07-01T19:40:50.889893+00:00,,,UKOUSD,,,,,,1526948211,,1.64
2026-07-06T10:32:23.151212+00:00,,,GBPUSD,,,,,,1544382699,,1.6800000000000002
2026-07-06T10:36:44.985597+00:00,,,USDJPY,,,,,,1544372904,,0.13
2026-07-06T11:01:06.663579+00:00,,,XAUUSD,,,,,,1544494054,,0.42
2026-07-06T12:41:53.912972+00:00,,,XAUUSD,,,,,,1544529528,,-14.92
2026-07-06T13:11:17.534672+00:00,,,USDJPY,,,,,,1544435562,,1.02
2026-07-06T13:24:20.135350+00:00,,,GBPUSD,,,,,,1544420531,,-7.14
2026-07-06T13:31:42.719983+00:00,,,XAUUSD,,,,,,1545351187,,1.28
2026-07-06T13:38:56.840985+00:00,,,XAUUSD,,,,,,1545415048,,0.18
2026-07-06T13:54:44.542667+00:00,,,XAUUSD,,,,,,1545544698,,1.45
2026-07-06T15:16:55.328938+00:00,,,XAUUSD,,,,,,1546146472,,-0.13
2026-07-06T15:18:37.125912+00:00,,,XAUUSD,,,,,,1546158099,,-0.39
2026-07-06T15:53:40.477440+00:00,,,CADJPY,,,,,,1546109444,,2.14
2026-07-06T15:59:45.420687+00:00,,,XAUUSD,,,,,,1546347055,,0.2
2026-07-06T19:12:05.326845+00:00,open,wpr_sma,UKOUSD,BUY,0.01,71.844,71.3799,72.65617,1547052463,20260627.0,
2026-07-06T19:24:36.377080+00:00,close,wpr_sma,UKOUSD,,,,,,1547052463,20260627,0.45
2026-07-07T08:29:06.859320+00:00,open,wpr_sma,GER40,BUY,0.1,25803.1,25713.70667,26026.58333,1549863973,20260627,
2026-07-07T10:14:11.629427+00:00,close,wpr_sma,GER40,,,,,,1549863973,20260627,-9.99
2026-07-07T11:21:15.272727+00:00,open,wpr_sma,VOW,BUY,1.0,78.55,77.16,81.6775,1550597434,20260627,
2026-07-07T11:35:07.498660+00:00,open,wpr_sma,XAUUSD,BUY,0.01,4143.32,4121.76909,4202.585,1550664383,20260627,
2026-07-07T11:36:30.507939+00:00,close,wpr_sma,XAUUSD,,,,,,1550664383,20260627,3.05
2026-07-07T12:29:03.933615+00:00,open,wpr_sma,XAUUSD,BUY,0.01,4168.66,4142.85455,4239.625,1551046433,20260627,
2026-07-07T12:51:03.238818+00:00,open,wpr_sma,GBPAUD,SELL,0.1,1.92547,1.92666,1.92218,1551169740,20260627,
2026-07-07T12:52:27.017703+00:00,close,wpr_sma,XAUUSD,,,,,,1551046433,20260627,0.62
2026-07-07T13:01:12.977997+00:00,close,wpr_sma,VOW,,,,,,1550597434,20260627,-0.29000000000000004
2026-07-07T13:03:06.367248+00:00,open,wpr_sma,VOW,BUY,1.0,78.45,77.39,80.835,1551270268,20260627,
2026-07-07T13:11:30.855864+00:00,close,wpr_sma,VOW,,,,,,1551270268,20260627,0.20999999999999996
2026-07-07T13:13:03.431610+00:00,open,wpr_sma,XAUUSD,BUY,0.01,4168.01,4141.50091,4240.91,1551358739,20260627,
2026-07-07T13:14:47.517264+00:00,close,wpr_sma,XAUUSD,,,,,,1551358739,20260627,1.99
2026-07-07T13:29:00.615148+00:00,open,wpr_sma,XAUUSD,BUY,0.01,4167.49,4137.87182,4248.94,1551459628,20260627,
2026-07-07T13:31:56.771660+00:00,close,wpr_sma,XAUUSD,,,,,,1551459628,20260627,2.31
2026-07-07T13:32:07.344349+00:00,open,wpr_sma,XAUUSD,BUY,0.01,4170.62,4139.58091,4255.9775,1551491386,20260627,
2026-07-07T13:33:19.275657+00:00,close,wpr_sma,GBPAUD,,,,,,1551169740,20260627,-7.23
2026-07-07T13:36:25.119927+00:00,close,wpr_sma,XAUUSD,,,,,,1551491386,20260627,4.28
2026-07-07T13:40:01.531530+00:00,open,wpr_sma,XAUUSD,BUY,0.01,4170.77,4139.73091,4256.1275,1551588089,20260627,
2026-07-07T13:41:35.282190+00:00,close,wpr_sma,XAUUSD,,,,,,1551588089,20260627,4.49
2026-07-07T13:48:08.619035+00:00,open,wpr_sma,UKOUSD,BUY,0.01,73.221,72.3381,74.76608,1551685150,20260627,
2026-07-07T13:50:01.408660+00:00,open,wpr_sma,GBPAUD,SELL,0.04,1.92604,1.9273,1.92258,1551700073,20260627,
2026-07-07T13:56:31.223217+00:00,close,wpr_sma,UKOUSD,,,,,,1551685150,20260627,0.89
2026-07-07T14:23:12.829467+00:00,open,wpr_sma,HUBS,BUY,1.5,197.1,194.25714,204.20714,1552048742,20260627,
2026-07-07T14:32:39.803572+00:00,close,wpr_sma,GBPAUD,,,,,,1551700073,20260627,-3.06
2026-07-07T14:35:46.938563+00:00,close,wpr_sma,HUBS,,,,,,1552048742,20260627,4.98
2026-07-07T15:31:02.721935+00:00,open,wpr_sma,DJ30,SELL,0.1,52895.45,53182.42942,52106.25659,1552545074,20260627,
2026-07-07T15:35:00.186525+00:00,close,wpr_sma,DJ30,,,,,,1552545074,20260627,0.46
2026-07-07T18:16:13.490234+00:00,open,wpr_sma,VIX,SELL,0.1,17.234,17.44908,16.64254,1553165856,20260627,
2026-07-07T18:42:17.679796+00:00,close,wpr_sma,VIX,,,,,,1553165856,20260627,-18.82
2026-07-07T19:07:01.914971+00:00,open,wpr_sma,NAS100,SELL,0.1,29171.74,29322.68853,28832.10581,1553452171,20260627,
2026-07-07T19:21:02.554959+00:00,open,wpr_sma,UKOUSD,BUY,0.01,75.898,74.8603,77.71398,1553618808,20260627,
